name,population,advertising,sales
Skillburgh,426637,"$976,176.49",63072
Normouth,78983,"$242,249.45",20378
Lunabrough,590032,"$918,633.54",36460
Pineness,171642,"$578,419.72",40302
Princefield,428436,"$1,191,085.53",74462
Passland,459921,"$1,353,578.27",98360
Chatpool,451084,"$1,462,077.79",122668
Lexingcaster,295821,"$907,909.89",71539
Springmouth,283199,"$1,002,470.82",94711
Julville,386302,"$816,050.82",58108
Dayside,333710,"$857,787.71",46763
Massbury,270009,"$674,705.33",46339
Highdol,302019,"$670,709.44",46657
Melham,65225,"$219,860.41",16671
Griffinhampton,197231,"$593,352.82",50736
Hapburgh,189689,"$244,454.31",6637
Princebrough,123369,"$389,160.95",24799
Millwich,82170,"$200,127.02",12206
Rosedale,225608,"$759,664.15",63333
Goldton,148788,"$405,784.62",31577
Waterham,973965,"$3,106,084.04",287150
Farmingtown,193433,"$559,000.15",38838
Bellbury,283106,"$512,844.99",36397
Cruxside,384577,"$1,119,964.71",80225
Seaness,669088,"$2,400,762.50",195970
Mayborough,537173,"$2,061,920.00",236599
Waterview,96760,"$286,819.11",15570
Casterport,252479,"$509,437.34",26865
Wingland,174040,"$396,584.28",19205
Daydale,853546,"$1,859,526.59",142640
Freeworth,285300,"$981,404.23",77342
Kingborough,311745,"$1,125,662.65",105616
Angerburg,362725,"$1,102,624.42",81242
Richview,266634,"$823,417.78",67028
Winggrad,372420,"$887,961.79",54036
Hosborough,634978,"$1,934,171.46",198202
Southby,268602,"$902,646.92",77368
Auness,379740,"$1,137,951.13",77399
Snowview,148765,"$410,877.52",28852
Factdale,397106,"$2,137,070.01",283608
Beachness,139043,"$485,168.81",53437
Capcester,292263,"$1,176,154.20",125873
Capland,364264,"$1,278,085.25",92914
Westgrad,254738,"$823,226.13",78379
,319509,"$841,892.93",45443
Medbrough,206676,"$720,446.50",65555
Fortcaster,661832,"$1,979,593.58",124074
Jameshampton,280994,"$688,525.24",29285
Kettleness,160579,"$264,199.70",5765
Duckville,416370,"$1,669,137.11",193622
Middlewich,251131,"$941,970.48",87301
Sandbury,263255,"$721,728.57",44747
Readingfield,294864,"$966,396.70",83564
Northgrad,481977,"$1,034,734.31",84743
Wheelpool,212715,"$972,027.67",118195
Wingborough,268450,"$700,534.14",51380
Luncester,267120,"$847,194.47",65943
Rockcaster,621494,"$871,001.76",41915
Mannortown,160940,"$466,334.28",31992
Sagefield,499961,"$1,346,871.49",84329
Stonecester,368920,"$873,478.26",45580
Snowwich,398800,"$1,250,209.59",86795
Beachpool,759911,"$2,207,349.62",136511
Fortdol,400173,"$1,243,624.97",93674
Lunaland,227381,"$932,770.41",108007
Westbury,233522,"$673,384.77",61581
Fortton,271972,"$913,938.86",83169
Millton,622928,"$2,737,396.48",256330
Frosttown,243262,"$602,350.87",36024
Wheelton,427465,"$1,811,822.78",161784
Starbrough,244328,"$695,780.82",45168
Millhampton,146156,"$402,299.28",25071
Dodgeborough,523200,"$1,420,109.72",132456
Bellhampton,126821,"$385,586.04",38527
Fishdol,237113,"$408,522.11",14741
Northwich,494251,"$1,667,903.51",165010
Sagecaster,145332,"$391,060.72",24876
