name,population,advertising,sales
Duckville,490217,"$997,330.79",71360
Valenport,270398,"$966,764.38",109366
Fayhampton,537947,"$1,425,957.59",101242
Casterford,104561,"$323,648.74",21445
Auton,240284,"$747,382.02",63010
Manhampton,284469,"$766,786.75",74021
Baydol,169775,"$277,959.66",13924
Westley,486609,"$1,755,093.70",165934
Waterbrough,467302,"$1,776,929.48",178988
Norcester,551660,"$1,633,653.12",142198
Fauxdol,251222,"$1,138,524.41",144578
Strongness,686428,"$2,863,283.34",312480
Pineford,285675,"$591,850.22",29713
Goldton,642650,"$1,596,847.57",155985
Medside,259299,"$813,001.26",51975
Frostgrad,237712,"$780,453.35",70987
Mansworth,191631,"$595,638.00",44148
Fortburg,137931,"$397,094.33",30864
Pinepool,615356,"$1,487,255.21",96941
Fishham,259115,"$869,325.65",80639
Fishpool,477470,"$1,764,094.18",189184
Eltown,359845,"$1,099,358.42",90712
Saltbrough,629127,"$2,306,984.92",183288
Fauxport,323850,"$620,823.95",29911
Bayville,161965,"$226,893.10",11648
Southingstead,293750,"$935,130.26",68906
Middleness,198755,"$338,664.05",18586
Daybrough,533056,"$1,732,061.50",113571
Kingfield,285026,"$566,166.38",18326
Freefield,581581,"$1,622,625.55",134959
Sandham,545818,"$1,641,884.92",133995
Waltburgh,138103,"$410,485.04",34109
Winport,444813,"$1,926,387.72",212533
Pailhampton,154361,"$462,315.14",35961
Milldale,484516,"$1,121,632.77",82274
Princemouth,415160,"$920,755.55",55685
Greenford,376798,"$447,586.89",24989
Holtscester,262057,"$969,717.37",110811
Medbrough,74139,"$251,801.04",21670
Richmouth,209103,"$1,210,311.75",215091
Sugarland,322637,"$836,910.05",52818
Julbury,360322,"$680,323.27",30681
Casterhampton,108988,"$307,722.24",24370
Kettleburgh,325371,"$989,756.23",85473
Bellbury,426650,"$1,300,477.19",105445
Weirham,419955,"$1,381,044.47",115251
Costsview,175154,"$579,431.80",56205
Richtown,97766,"$310,832.59",27027
Lexingworth,196330,"$409,092.94",24804
